,nev,E,ctau,m,lam121,lam112,Br,cos
0,1.1209798096537464e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,-0.9
0,1.1888759594321526e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,-0.7
0,1.2214669509986675e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,-0.5
0,1.2422848385820092e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,-0.2999999999999999
0,1.2522687560102127e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,-0.0999999999999999
0,1.2582042849426402e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,0.0999999999999999
0,1.243753775148535e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,0.3000000000000001
0,1.2223825476271212e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,0.5000000000000001
0,1.190946768368016e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,0.7000000000000001
0,1.1209947558775005e-10,1166.760716081662,6238423.438597878,0.5,0.001,0.001,5.657316854215231e-10,0.9
1,7.788195789311421e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,-0.9
1,8.260853764527065e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,-0.7
1,8.488271300611066e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,-0.5
1,8.633906513528486e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,-0.2999999999999999
1,8.704216233189667e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,-0.0999999999999999
1,8.745970965528742e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,0.0999999999999999
1,8.645590823402723e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,0.3000000000000001
1,8.497049567044943e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,0.5000000000000001
1,8.278538703935973e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,0.7000000000000001
1,7.792289534716711e-10,1166.760716081662,2366040.738120435,0.5,0.0016237767391887,0.0016237767391887,1.4916369554257823e-09,0.9
2,5.40130620675485e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,-0.9
2,5.7373685261577674e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,-0.7
2,5.897073893961717e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,-0.5
2,6.000021598398209e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,-0.2999999999999999
2,6.050571039953501e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,-0.0999999999999999
2,6.080507652920261e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,0.0999999999999999
2,6.010844503204553e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,0.3000000000000001
2,5.907599382387568e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,0.5000000000000001
2,5.755689785366083e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,0.7000000000000001
2,5.41762816391925e-09,1166.760716081662,897365.9498342255,0.5,0.0026366508987303,0.0026366508987303,3.932925909501402e-09,0.9
