,nev,E,ctau,m,lam121,Br,cos
0,1.3416735166558472e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,-0.9
0,1.4228408264473953e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,-0.7
0,1.4617434735024642e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,-0.5
0,1.486556956470986e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,-0.2999999999999999
0,1.4984098495912298e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,-0.0999999999999999
0,1.5054604008856887e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,0.0999999999999999
0,1.4881613959597548e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,0.3000000000000001
0,1.462588023599422e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,0.5000000000000001
0,1.4249764899481796e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,0.7000000000000001
0,1.3412764202586214e-12,1166.760716081662,521263313.52515423,0.5,0.001,5.65731685421523e-10,0.9
1,9.329245446634329e-12,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,-0.9
1,9.893645059776073e-12,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,-0.7
1,1.0164176636624718e-11,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,-0.5
1,1.0336723638710925e-11,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,-0.2999999999999999
1,1.0419146702157547e-11,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,-0.0999999999999999
1,1.046817907567413e-11,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,0.0999999999999999
1,1.0347901382478405e-11,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,0.3000000000000001
1,1.0170083917351447e-11,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,0.5000000000000001
1,9.908542420878047e-12,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,0.7000000000000001
1,9.326541825982715e-12,1166.760716081662,197699025.5995443,0.5,0.0016237767391887,1.4916369554257823e-09,0.9
2,6.484807451510075e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,-0.9
2,6.8771466358026e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,-0.7
2,7.065222817122457e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,-0.5
2,7.18518703224788e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,-0.2999999999999999
2,7.242503607945877e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,-0.0999999999999999
2,7.276600388418031e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,0.0999999999999999
2,7.192995599888526e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,0.3000000000000001
2,7.069392223166257e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,0.5000000000000001
2,6.887588328609473e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,0.7000000000000001
2,6.483032822529794e-11,1166.760716081662,74981115.51087148,0.5,0.0026366508987303,3.932925909501402e-09,0.9
3,4.508566680684632e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,-0.9
3,4.781385508196227e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,-0.7
