,nev,E,ctau,m,lam112,lam111,Br,cos
0,2.46020703275969e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,-0.9
0,2.59961327790536e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,-0.7
0,2.654132745437601e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,-0.5
0,2.6772131279457815e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,-0.2999999999999999
0,2.698945778517257e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,-0.0999999999999999
0,2.695697573542717e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,0.0999999999999999
0,2.6761990785667693e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,0.3000000000000001
0,2.649951440645107e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,0.5000000000000001
0,2.5966983598425413e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,0.7000000000000001
0,2.454908574507146e-09,1166.760716081662,533834189038.84393,0.14,0.0001,0.0001,8.691415556701507e-09,0.9
1,2.7771535099649713e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,-0.9
1,2.9324107347643715e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,-0.7
1,2.993666391878569e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,-0.5
1,3.0198473419375686e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,-0.2999999999999999
1,3.042280255594044e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,-0.0999999999999999
1,3.0386188474794537e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,0.0999999999999999
1,3.0187034508458667e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,0.3000000000000001
1,2.988949939243781e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,0.5000000000000001
1,2.9291224429388307e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,0.7000000000000001
1,2.771172577520312e-08,1166.760716081662,158887815813.78494,0.14,0.0001832980710832,0.0001832980710832,2.9201576322168e-08,0.9
2,3.1340713611000574e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,-0.9
2,3.3084739589011135e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,-0.7
2,3.3777872496433915e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,-0.5
2,3.407776042639139e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,-0.2999999999999999
2,3.4343765414188953e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,-0.0999999999999999
2,3.430243246908837e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,0.0999999999999999
2,3.4064851390458294e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,0.3000000000000001
2,3.372465376697089e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,0.5000000000000001
2,3.3047636912529347e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,0.7000000000000001
2,3.1273214994001814e-07,1166.760716081662,47290597965.50102,0.14,0.0003359818286283,0.0003359818286283,9.811198335459417e-08,0.9
3,3.5379442918922767e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,-0.9
3,3.734807297947435e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,-0.7
3,3.8130193749717394e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,-0.5
3,3.846821784855134e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,-0.2999999999999999
3,3.876756961519025e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,-0.0999999999999999
3,3.872091278650532e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,0.0999999999999999
3,3.845364639747923e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,0.3000000000000001
3,3.807011921719595e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,0.5000000000000001
3,3.7306191199414592e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,0.7000000000000001
3,3.530324766175689e-06,1166.760716081662,14075343943.02258,0.14,0.000615848211066,0.000615848211066,3.296383594583362e-07,0.9
4,3.993944343727975e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,-0.9
4,4.216221061742203e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,-0.7
4,4.304518932473491e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,-0.5
4,4.342748812060259e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,-0.2999999999999999
4,4.3765406332109336e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,-0.0999999999999999
4,4.3712735323240304e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,0.0999999999999999
4,4.341104073926762e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,0.3000000000000001
4,4.297737640014157e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,0.5000000000000001
4,4.211493711236592e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,0.7000000000000001
4,3.985343484875459e-05,1166.760716081662,4189317023.627201,0.14,0.0011288378916846,0.0011288378916846,1.1075241264404928e-06,0.9
5,0.0004508469000544478,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,-0.9
5,0.00047593705995316554,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,-0.7
5,0.0004859076198493411,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,-0.5
5,0.0004902225528454409,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,-0.2999999999999999
5,0.0004940361702632731,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,-0.0999999999999999
5,0.0004934416332838303,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,0.0999999999999999
5,0.0004900369733850649,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,0.3000000000000001
5,0.00048514226434343645,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,0.5000000000000001
5,0.0004754036148609402,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,0.7000000000000001
5,0.0004498762426785035,1166.760716081662,1246887976.2723424,0.14,0.0020691380811147,0.0020691380811147,3.72107008729136e-06,0.9
6,0.005089376843576068,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,-0.9
6,0.00537262682118092,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,-0.7
6,0.005485172668361382,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,-0.5
6,0.005533895860942422,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,-0.2999999999999999
6,0.005576934128492538,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,-0.0999999999999999
6,0.005570223756947158,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,0.0999999999999999
6,0.005531804103748746,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,0.3000000000000001
6,0.0054765381454090255,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,0.5000000000000001
6,0.005366612162366775,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,0.7000000000000001
6,0.005078428308902292,1166.760716081662,371117682.57309455,0.14,0.0037926901907322,0.0037926901907322,1.2502009543063747e-05,0.9
7,0.05744767174399416,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,-0.9
7,0.06064485026658039,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,-0.7
